UserId,UserName,Followers,TotalTweets,TotalLikes,AverageLikes,MeanLikes,TotalReplies,AverageReplies,MeanReplies,TotalRetweets,AverageRetweets,MeanRetweets,LogFollowers,LogRetweets,PopularityCluster
1637757013,Claus Strunz,16069,1,507,507.0,507.0,0,0.0,0.0,175,175.0,175.0,9.68,5.17,9
755295797986652160,BB,15917,2,3814,1907.0,1907.0,0,0.0,0.0,613,306.5,306.5,9.68,6.42,9
912384341631791105,Rebel Wisdom,15816,1,1022,1022.0,1022.0,0,0.0,0.0,191,191.0,191.0,9.67,5.26,9
19140613,Michael Ziesmann,15772,6,2030,410.0,338.33,1,0.0,0.17,560,99.0,93.33,9.67,6.33,9
832272924727975937,Monique Plaza,15741,1,369,369.0,369.0,0,0.0,0.0,218,218.0,218.0,9.66,5.39,9
878995178853412864,Rebrote de PorOtto,15681,1,0,0.0,0.0,1,1.0,1.0,419,419.0,419.0,9.66,6.04,9
540887771,Sebastian Rushworth M.D.,15371,1,857,857.0,857.0,0,0.0,0.0,481,481.0,481.0,9.64,6.18,9
715528372047253504,Olaf Sundermeyer,15316,1,935,935.0,935.0,0,0.0,0.0,287,287.0,287.0,9.64,5.66,9
4849908027,Anna Becker,15270,2,6343,3171.5,3171.5,1,0.5,0.5,404,202.0,202.0,9.63,6.0,9
1127428081,ZDF-Landesstudio Nordrhein-Westfalen,14782,1,748,748.0,748.0,0,0.0,0.0,313,313.0,313.0,9.6,5.75,9
1396850204180103170,Docteur Hippocrate,14544,1,307,307.0,307.0,0,0.0,0.0,236,236.0,236.0,9.59,5.47,9
701051285831884801,Jonas Danner,13893,1,1390,1390.0,1390.0,0,0.0,0.0,250,250.0,250.0,9.54,5.53,9
1769551,NYT Health,1188330,1,2,2.0,2.0,0,0.0,0.0,0,0.0,0.0,13.99,0.0,8
28964208,Das Erste,686683,1,8,8.0,8.0,0,0.0,0.0,0,0.0,0.0,13.44,0.0,8
21476880,RTL,568598,1,8,8.0,8.0,0,0.0,0.0,1,1.0,1.0,13.25,0.69,8
15071293,WAZ,238966,1,1,1.0,1.0,0,0.0,0.0,1,1.0,1.0,12.38,0.69,8
17803524,SZ Top-News,224990,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,12.32,0.0,8
24027953,Rainer Seiffert,219293,1,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,12.3,0.69,8
1027130972981080064,Pickswise,204470,1,24,24.0,24.0,0,0.0,0.0,2,2.0,2.0,12.23,1.1,8
36633613,profil online,178630,1,13,13.0,13.0,0,0.0,0.0,1,1.0,1.0,12.09,0.69,8
46085533,CDU/CSU,161507,1,8,8.0,8.0,0,0.0,0.0,2,2.0,2.0,11.99,1.1,8
18552451,Stuttgarter Zeitung,135816,1,1,1.0,1.0,0,0.0,0.0,1,1.0,1.0,11.82,0.69,8
16657699,KPIX 5,109619,1,0,0.0,0.0,0,0.0,0.0,1,1.0,1.0,11.6,0.69,8
14497517,MEEDIA,108274,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11.59,0.0,8
6027992,DW Deutsch,106879,1,2,2.0,2.0,0,0.0,0.0,6,6.0,6.0,11.58,1.95,8
269581619,7NEWS Adelaide,97882,1,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,11.49,0.0,8
15865339,HAZ,92465,1,2,2.0,2.0,0,0.0,0.0,2,2.0,2.0,11.43,1.1,8
296426654,Landesregierung BW,92314,1,7,7.0,7.0,0,0.0,0.0,4,4.0,4.0,11.43,1.61,8
95856748,Helmholtz,89152,1,3,3.0,3.0,0,0.0,0.0,1,1.0,1.0,11.4,0.69,8
60483082,Greg Hunt,86831,1,102,102.0,102.0,0,0.0,0.0,8,8.0,8.0,11.37,2.2,8
19488465,Krautreporter,77654,1,6,6.0,6.0,0,0.0,0.0,1,1.0,1.0,11.26,0.69,8
66495526,SF Giants on NBCS,75557,1,47,47.0,47.0,0,0.0,0.0,5,5.0,5.0,11.23,1.79,8
1060573081935249409,NTD News,72371,1,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,11.19,0.0,8
17021339,tz,71621,3,1,0.0,0.33,2,1.0,0.67,6,2.0,2.0,11.18,1.95,8
1860407786,Maischberger,66770,2,68,34.0,34.0,0,0.0,0.0,4,2.0,2.0,11.11,1.61,8
247262571,Staatskanzlei NRW,63337,1,14,14.0,14.0,0,0.0,0.0,1,1.0,1.0,11.06,0.69,8
16026138,Kleine Zeitung,62452,1,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,11.04,0.0,8
43069596,SonntagsZeitung,56304,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10.94,0.0,8
74951679,nd.Aktuell,55057,1,1,1.0,1.0,0,0.0,0.0,1,1.0,1.0,10.92,0.69,8
202529421,Wiener Zeitung,53887,2,11,5.5,5.5,0,0.0,0.0,6,3.0,3.0,10.89,1.95,8
17441538,Basler Zeitung,50616,1,2,2.0,2.0,0,0.0,0.0,0,0.0,0.0,10.83,0.0,8
857721973,Technology Review,49304,1,1,1.0,1.0,0,0.0,0.0,1,1.0,1.0,10.81,0.69,8
18759950,StN_News,42952,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10.67,0.0,8
2529597686,NDR Info,42898,2,16,8.0,8.0,0,0.0,0.0,3,1.5,1.5,10.67,1.39,8
204748499,Antibiotic Steward Bassam Ghanem,42259,1,9,9.0,9.0,0,0.0,0.0,5,5.0,5.0,10.65,1.79,8
14727549,Alexandros Marinos,41675,1,50,50.0,50.0,1,1.0,1.0,10,10.0,10.0,10.64,2.4,8
219991963,Claus Pándi,40614,1,203,203.0,203.0,1,1.0,1.0,1,1.0,1.0,10.61,0.69,8
47728577,Julia Schramm,40574,1,163,163.0,163.0,0,0.0,0.0,13,13.0,13.0,10.61,2.64,8
581978005,Malte Kreutzfeldt,40422,1,0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,10.61,0.0,8
14136293,Badische Zeitung,39100,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10.57,0.0,8
416786798,islieb?,38690,1,0,0.0,0.0,1,1.0,1.0,3,3.0,3.0,10.56,1.39,8
57048572,Erich Neuwirth,37670,1,59,59.0,59.0,1,1.0,1.0,8,8.0,8.0,10.54,2.2,8
3439152657,Hamburger Senat,37643,1,26,26.0,26.0,0,0.0,0.0,4,4.0,4.0,10.54,1.61,8
29971645,Belltower.News,37148,1,14,14.0,14.0,0,0.0,0.0,3,3.0,3.0,10.52,1.39,8
1001374075,NDR Niedersachsen,37064,1,22,22.0,22.0,0,0.0,0.0,7,7.0,7.0,10.52,2.08,8
200112969,futurezone,36225,1,4,4.0,4.0,0,0.0,0.0,3,3.0,3.0,10.5,1.39,8
58285254,Alexander Kissler,36142,1,25,25.0,25.0,0,0.0,0.0,5,5.0,5.0,10.5,1.79,8
390641663,Johannes G,35667,1,0,0.0,0.0,1,1.0,1.0,1,1.0,1.0,10.48,0.69,8
746761825014915073,Pat McDaniel,35544,1,19,19.0,19.0,0,0.0,0.0,6,6.0,6.0,10.48,1.95,8
2693038383,Mrs_Mary.,34978,1,292,292.0,292.0,0,0.0,0.0,4,4.0,4.0,10.46,1.61,8
2350970725,Charlene ???? ?? ???,34444,1,0,0.0,0.0,1,1.0,1.0,11,11.0,11.0,10.45,2.48,8
14784064,Dushan Wegner,34061,1,27,27.0,27.0,0,0.0,0.0,8,8.0,8.0,10.44,2.2,8
221580114,"Amy Maxmen, PhD",33592,1,8,8.0,8.0,1,1.0,1.0,1,1.0,1.0,10.42,0.69,8
1352390214770188290,Gunnar Kaiser,33545,1,16,16.0,16.0,0,0.0,0.0,3,3.0,3.0,10.42,1.39,8
526311519,Philip Plickert,33099,1,13,13.0,13.0,0,0.0,0.0,7,7.0,7.0,10.41,2.08,8
52012200,Deutsches Ärzteblatt,31880,4,7,1.5,1.75,0,0.0,0.0,7,0.5,1.75,10.37,2.08,8
153053540,Barbara Kaufmann,31527,1,160,160.0,160.0,0,0.0,0.0,7,7.0,7.0,10.36,2.08,8
